FisNo,Fisinx,cbpg,tanim,ParaCinsi,EvrakNo,Tutar,Banka,Sube,Vade,MuhKod,KurFarkiMuhKod,MM,KurFarkiMM,StpjOran,KDVOran,StpjMuhKod,KDVMuhKod,_FKDVTop,_FOTVTop,_FFatTop,locked,Tanim2,KurFarkiDvz,BABSCODE,ExtraField1,ExtraField2,ExtraField3,TevKod,TevOran,TevMuhKod
6541,6601,320.059,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6542,6602,320.057,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6543,6603,320.065,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6544,6604,320.041,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6545,6605,320.047,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6546,6606,320.054,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6547,6607,320.092,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6548,6608,320.104,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6549,6609,320.012,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6550,6610,320.081,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6551,6611,320.086,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6552,6612,320.072,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6553,6613,320.033,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6554,6614,320.026,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6555,6615,320.074,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6556,6616,320.069,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6557,6617,320.056,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6558,6618,320.064,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6559,6619,320.082,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6560,6620,320.087,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6561,6621,320.108,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
6562,6622,320.043,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
6563,6623,320.093,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
6564,6624,320.091,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
6565,6625,320.042,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
6566,6626,320.100,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
6567,6627,320.024,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6568,6628,320.070,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6569,6629,320.010,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6570,6630,320.035,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
6571,6631,320.049,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
6572,6632,320.088,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
6573,6633,320.084,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6574,6634,320.110,Mağaza Tahsilatı,US,,868.0,,,,,,,,,,,,,,,,,,,,,,,,
6575,6635,320.006,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
6576,6636,320.078,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
6577,6637,320.101,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6578,6638,320.013,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6579,6639,320.053,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6580,6640,320.015,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6581,6641,320.015,Kalan Borç,US,,1048.0,,,,,,,,,,,,,,,,,,,,,,,,
6582,6642,320.015,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6583,6643,120.121,TAHSİLAT MAGAZA,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6584,6644,120.048,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,Sayaradan alındı.,,,,,,,,
6585,6645,120.034,Grand Medya Otelden alındı.,US,,460.0,,,,,,,,,,,,,,,,,,,,,,,,
6586,6646,120.044,Medya Otelden alındı.,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
6587,6647,120.046,Korona Pay ile alındı.,US,,1860.0,,,,,,,,,,,,,,,,AKSA İŞ MERKEZİ KAT:5,,,,,,,,
6588,6648,120.125,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6589,6649,120.124,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6590,6650,120.120,TAHSİLAT MAGAZA İRAYA,US,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
6591,6651,120.126,TAHSİLAT MAGAZA,US,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
6592,6652,120.074,SAYARA TAHSİLAT MAGAZA,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6593,6653,120.068,TAJ Kargodan alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6594,6654,120.021,020 1683 Quality - 8*10= 80$ discount,US,,80.0,,,,,,,,,,,,,,,,,,,,,,,,
6594,6655,120.021,014 1924  Quality - 8*5= 40$ discount,US,,40.0,,,,,,,,,,,,,,,,,,,,,,,,
6595,6656,120.129,TAHSİLAT MAGAZA,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6596,6657,120.026,TAHSİLAT MAGAZA,US,,424.0,,,,,,,,,,,,,,,,,,,,,,,,
6597,6658,120.130,TAHSİLAT MAGAZA,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6597,6659,120.130,İNDİRİM,US,,22.0,,,,,,,,,,,,,,,,,,,,,,,,
6598,6660,120.095,TAHSİLAT MAGAZA,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6599,6661,120.039,Grand Medya Otel Elisadan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6600,6662,120.127,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6601,6663,120.111,Laleli Galeria nedimden alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6602,6664,120.131,TAHS'LAT MAGAZA,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
6603,6665,YS-001,180.000 TL Çek (vade?),US,,4995.0,,,,,,,,,,,,,,,,Diva Ayakkabı Çeki,,,,,,,,
6604,6666,120.129,TAHSİLAT MAGAZA,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6605,6667,120.132,TAHSİLAT MAGAZA,US,,656.0,,,,,,,,,,,,,,,,,,,,,,,,
6606,6668,120.007,Mağaza Tahsilatı,US,,348.0,,,,,,,,,,,,,,,,,,,,,,,,
6607,6669,120.084,Korona Pay ile alındı.,US,,1500.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6608,6670,120.100,Aksaray Otelden alındı.,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
6609,6671,120.078,TAHSİLAT MAGAZA,US,,2990.0,,,,,,,,,,,,,,,,,,,,,,,,
6610,6672,120.067,63 Kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6611,6673,120.040,Alsu Trans Kargodan alındı.,US,,3430.0,,,,,,,,,,,,,,,,,,,,,,,,
6612,6674,120.128,Kargo 34 ten alındı.,US,,528.0,,,,,,,,,,,,,,,,,,,,,,,,
6614,6676,320.030,Maðaza Tahsilatý,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
6615,6677,320.052,Maðaza Tahsilatý,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6616,6678,320.014,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6617,6679,320.071,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
6618,6680,320.020,Maðaza Tahsilatý,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
6619,6681,320.039,Maðaza Tahsilatý,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6620,6682,320.087,"1000€ Karþýlýðý kur:1,04",US,,1040.0,,,,,,,,,,,,,,,,,,,,,,,,
6621,6683,320.061,Maðaza Tahsilatý,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6684,320.004,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6685,320.063,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6686,320.041,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6687,320.003,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6688,320.047,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6689,320.076,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6690,320.067,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6691,320.015,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6692,320.046,650€ + 825$,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6693,320.045,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6694,320.105,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6695,320.085,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6696,320.057,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6697,320.001,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6698,320.056,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6699,320.012,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6700,320.097,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6701,320.072,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6702,320.065,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6703,320.104,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6704,320.066,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6705,320.068,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6706,320.013,"1000€ karþýlýðý kur: 1,04",US,,1040.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6707,320.062,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6708,320.027,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6709,320.054,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6710,320.005,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6711,320.081,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6712,320.059,"500€ karþýlýðý kur: 1,04",US,,520.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6713,320.093,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6714,320.043,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6715,320.033,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6716,320.088,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6717,320.100,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6718,320.086,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6719,320.102,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6720,320.006,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6721,320.079,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6722,320.049,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6723,320.074,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6724,320.064,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6725,320.108,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6726,320.123,"400€ karþýlýðý kur: 1,04",US,,416.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6727,320.035,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6728,320.036,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6729,320.101,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6622,6730,320.042,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6623,6731,120.005,Giden ürünler karþýlýðý,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6624,6732,G001,Depo Kirasi kalan miktar,US,,3200.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
6625,6733,G001,Maðaza Kirasý (4.KAT),US,,5000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
6626,6734,Y01.001,Kasa Girişi,US,,18500.0,,,,,,,,,0.00,,,,,,,Umut Borc,,,,,,,,
6627,6735,Y01.001,Kasa Girisi,US,,40000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
6628,6736,Y01.001,depo kirası 1.ödeme,US,,4000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
6630,6738,Y01.002,Kasa Girisi,US,,21000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
6631,6739,Y01.002,Kasa Girisi,US,,25000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
6632,6740,Y01.002,Kasa Girisi,US,,10000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
6633,6741,120.084,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6634,6742,120.103,Korona Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6635,6743,120.106,MosTrans Kargodan alındı.,US,,1850.0,,,,,,,,,,,,,,,,,,,,,,,,
6636,6744,120.136,TAHSİKAT MAGAZA,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
6637,6745,120.065,Korona Pay ile alındı.,US,,1416.0,,,,,,,,,,,,,,,,,,,,,,,,
6638,6746,120.067,HAS Kargodan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6639,6747,120.008,Emrahın dolar hesabına gönderildi.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6640,6748,120.008,Emrah dolar hesabına gönderildi.,US,,1460.0,,,,,,,,,,,,,,,,,,,,,,,,
6641,6749,120.089,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6642,6750,120.123,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
6643,6751,120.140,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
6644,6752,120.017,Emos Aksoy kargodan alındı.,US,,15000.0,,,,,,,,,,,,,,,,,,,,,,,,
6645,6753,120.163,Pegas Kargodan alındı.,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
6646,6754,120.108,Zeri Gold kargodan alındı.,US,,2623.0,,,,,,,,,,,,,,,,,,,,,,,,
6647,6755,120.082,7700 Kargodan alındı.,US,,2048.0,,,,,,,,,,,,,,,,,,,,,,,,
6648,6756,120.072,Korona Pay ile alındı.,US,,760.0,,,,,,,,,,,,,,,,,,,,,,,,
6649,6757,120.142,TAHSİLAT MAGAZA,US,,732.0,,,,,,,,,,,,,,,,,,,,,,,,
6650,6758,120.001,,US,,15000.0,,,,,,,,,,,,,,,,,,,,,,,,
6651,6759,120.018,TAHSİLAT MAGAZA 5000 EURO,US,,5235.0,,,,,,,,,,,,,,,,,,,,,,,,
6652,6760,120.145,TAHSİLAT MAGAZA,US,,3190.0,,,,,,,,,,,,,,,,,,,,,,,,
6652,6761,120.145,İNDİRİM,US,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
6653,6762,120.077,Altıncenter kuyumcu no 7 alındı.,US,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,
6654,6763,120.139,TAHSİLAT MAGAZA,US,,110.0,,,,,,,,,,,,,,,,,,,,,,,,
6655,6764,120.138,TAHSİLAT MAGAZA,US,,210.0,,,,,,,,,,,,,,,,,,,,,,,,
6656,6765,120.122,Onur Aldı.,US,,216.0,,,,,,,,,,,,,,,,,,,,,,,,
6657,6766,120.043,Cem Shoes tan alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6658,6767,120.042,Dila Kuyumculuktan alındı.,US,,1092.0,,,,,,,,,,,,,,,,,,,,,,,,
6659,6768,TKNK- 002,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6660,6769,120.055,Laleli Galeria Nedimden alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6661,6770,120.160,"1300 € karşılığı kur: 1,0396",US,,1351.0,,,,,,,,,,,,,,,,Vilnius Kargodan alındı. ,,,,,,,,
6662,6771,120.078,TAHSİLAT MAGAZA,US,,4643.0,,,,,,,,,,,,,,,,,,,,,,,,
6663,6772,120.019,Korona Pay ile ödeme alındı.,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6665,6774,320.030,1000€ + 1000$ karşılığı,US,,2040.0,,,,,,,,,,,,,,,,,,,,,,,,
6666,6775,320.071,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
6667,6776,320.014,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6668,6777,320.004,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6669,6778,320.020,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6670,6779,320.039,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6671,6780,320.023,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6672,6781,320.057,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6673,6782,320.015,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6674,6783,320.087,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6675,6784,320.063,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6676,6785,320.041,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6677,6786,320.047,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6678,6787,320.076,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6679,6788,320.067,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6680,6789,320.097,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6681,6790,320.061,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6682,6791,320.005,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6683,6792,320.056,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6684,6793,320.013,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6685,6794,320.059,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6686,6795,320.085,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6687,6796,320.003,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6688,6797,320.024,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6689,6798,320.012,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6690,6799,320.098,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6691,6800,320.051,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6692,6801,320.072,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6693,6802,320.045,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6694,6803,320.046,"1000€ karşılığı  kur: 1,039",US,,1040.0,,,,,,,,,,,,,,,,,,,,,,,,
6695,6804,320.105,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6696,6805,320.104,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6697,6806,320.089,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6698,6807,320.066,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6699,6808,320.121,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6700,6809,320.027,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
6701,6810,320.101,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
6702,6811,320.065,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6703,6812,320.081,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6704,6813,320.049,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6705,6814,320.096,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6706,6815,320.088,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
6707,6816,320.054,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6708,6817,320.123,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6709,6818,320.033,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6710,6819,320.068,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6711,6820,320.102,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6712,6821,320.042,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
6713,6822,320.120,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6714,6823,320.062,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6715,6824,320.082,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
6716,6825,320.100,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
6717,6826,320.010,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
6718,6827,320.064,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
6719,6828,320.086,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
6720,6829,320.074,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
6721,6830,YS-001,Mağaza Tahsilatı,US,,1100.0,,,,,,,,,,,,,,,,Poşetçi ödemeye geldi.,,,,,,,,
6722,6831,Y01.003,Kasa Girişi,US,,79440.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
6723,6832,Y01.003,Kasa Girişi,US,,70000.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
6724,6833,YS- 002,Banka EFT,TL,,1166.0,,,,,,,,,,,,,,,,,,,,,,,,
6725,6834,120.038,TAHSİLAT MAGAZA ARKADAŞI,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
7725,7834,120.013,Korona Pay ile ödeme alındı.,US,,762.0,,,,,,,,,,,,,,,,,,,,,,,,
7726,7835,120.072,Korona Pay ile ödeme alındı.,US,,2042.0,,,,,,,,,,,,,,,,,,,,,,,,
7727,7836,120.088,Antik İness kargodan alındı.,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
7728,7837,120.150,TAHSİLAT MAGAZA 2109 EURO,US,,2212.0,,,,,,,,,,,,,,,,,,,,,,,,
7729,7838,120.133,Korona Pay ile ödeme alındı.,US,,250.0,,,,,,,,,,,,,,,,,,,,,,,,
7730,7839,120.153,TAHSİLAT MAGAZA,US,,1450.0,,,,,,,,,,,,,,,,,,,,,,,,
7730,7841,120.153,İNDİRİM,US,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
7731,7842,120.061,TAHSİLAT MAGAZA,US,,1320.0,,,,,,,,,,,,,,,,,,,,,,,,
7732,7843,120.152,TAHSİLAT MAGAZA BAHAR,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
7733,7844,120.146,Korona Pay ile alındı.,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
7734,7845,120.079,Alberto Trend Alındı. ,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
7735,7846,120.150,TAHSİLAT MAGAZA 1425 EURO,US,,1504.0,,,,,,,,,,,,,,,,,,,,,,,,
7736,7847,120.134,TAHSİLAT MAGAZA,US,,640.0,,,,,,,,,,,,,,,,,,,,,,,,
7737,7848,120.028,Bishkek AERO Tour kargodan alındı.,US,,2300.0,,,,,,,,,,,,,,,,,,,,,,,,
7738,7849,120.134,TAHSİLAT MAGAZA,US,,3100.0,,,,,,,,,,,,,,,,,,,,,,,,
