Koli_KOD,Tanim,Beden_KOD,Tanim2
mrkd,mrkd,ERS,mrkd
MS1,MS1,ERS,MS1
MSR,37- 41 = 2 2 2 1 1 0 0=8,Z1,37- 41 = 2 2 2 1 1 0 0=8
MY02,MAS SERVET,M1,MAS SERVET
nat,nat,M1,nat
NBB,NBB,BB,NBB
NNNN,31- 36 = 1 1 2 2 1 1 0=8,FILE,31- 36 = 1 1 2 2 1 1 0=8
NNNP,26- 30 = 1 2 2 2 1 0 0 0 0 0 0 0=8,FILE,26- 30 = 1 2 2 2 1 0 0 0 0 0 0 0=8
NNNR,31- 36 = 1 1 1 2 2 1 0=8,FILE,31- 36 = 1 1 1 2 2 1 0=8
NOR,NORMAL,GR,NORMAL
NRML,NRML,ERS,NRML
OZEL,OZEL,M1,OZEL
P-05,RKS,PT,RKS
P-1,JUMP,PT,
P-13,DALTON SHOES,PT,DALTON SHOES
P-2,SANCAKTAR,PT,
P-3,TEKİNER,PT,
P39,39- 39 = 8 0 0 0 0=8,Z1,39- 39 = 8 0 0 0 0=8
P-4,TEKINDER,PT,
P-40,P-40,PT,P-40
P-41,P-41,PT,P-41
P-42,P-42,PT,P-42
P-68,RKS YENİ,CK,RKS YENİ
P-86,ZİRVE,CK,ZİRVE
PAPE,40- 44 = 1 1 3 3 2 0 0 0=10,M1,40- 44 = 1 1 3 3 2 0 0 0=10
POD,POD,M1,POD
POLA,POLARIS,Z1,POLARIS
PUN,PUNTO,Z1,PUNTO
PUNT,PUNTO,FT,PUNTO
R,RKS,CK,RKS
RE,RE,Z1,RE
ret,RETTO UFAK,Z1,RETTO UFAK
RETO,RETO,Z1,RETO
RETT,RETTO,Z1,RETTO
REZZ,REZZ,M1,REZZ
RKS,RKS,FT,RKS
RKS1,RKS1,PT,RKS1
RKS2,RKS2,BB,RKS2
RKS3,RKS3,GR,RKS3
rksF,rksF,FT,rksF
rksG,rksG,GR,rksG
RRRT,RRRT,Z1,RRRT
RTT,RETTO BATTAL,Z1,RETTO BATTAL
RTTO,RETTO 35-42,Z1,RETTO 35-42
RTTT,RTTT,Z1,RTTT
RVND,RVND,M1,RVND
S,S,Z1,S
S.CE,S.CELEMLİ,M1,S.CELEMLİ
SADF,WERSDFGSDFSSDAF,Z1,WERSDFGSDFSSDAF
SANP,40- 44 = 1 2 3 3 1 0 0 0 0=10,X2,40- 44 = 1 2 3 3 1 0 0 0 0=10
SANZ,36- 40 = 1 3 3 2 1 0 0 0 0 0 0 0 0=10,X2,36- 40 = 1 3 3 2 1 0 0 0 0 0 0 0 0=10
SAO1,36- 40 = 1 2 3 3 1 0 0 0 0 0 0 0 0=10,X2,36- 40 = 1 2 3 3 1 0 0 0 0 0 0 0 0=10
SAO3,37- 38 = 4 4 0 0 0 0 0 0 0 0 0 0=8,X2,37- 38 = 4 4 0 0 0 0 0 0 0 0 0 0=8
SAO5,37- 37 = 8 0 0 0 0 0 0 0 0 0 0 0=8,X2,37- 37 = 8 0 0 0 0 0 0 0 0 0 0 0=8
SAO7,38- 38 = 8 0 0 0 0 0 0 0 0 0 0=8,X2,38- 38 = 8 0 0 0 0 0 0 0 0 0 0=8
SAO9,36- 36 = 8 0 0 0 0 0 0 0 0 0 0 0 0=8,X2,36- 36 = 8 0 0 0 0 0 0 0 0 0 0 0 0=8
SAP1,31- 35 = 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0=6,X2,31- 35 = 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0=6
SAP3,36- 40 = 1 1 2 1 1 0 0 0 0 0 0 0 0=6,X2,36- 40 = 1 1 2 1 1 0 0 0 0 0 0 0 0=6
SAP5,40- 44 = 1 1 2 1 1 0 0 0 0=6,X2,40- 44 = 1 1 2 1 1 0 0 0 0=6
SAP7,36- 39 = 1 2 3 2 0 0 0 0 0 0 0 0 0=8,X2,36- 39 = 1 2 3 2 0 0 0 0 0 0 0 0 0=8
SAP9,36- 40 = 2 3 3 1 1 0 0 0 0 0 0 0 0=10,X2,36- 40 = 2 3 3 1 1 0 0 0 0 0 0 0 0=10
SAQ1,31- 35 = 1 1 2 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0=10,X2,31- 35 = 1 1 2 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0=10
SAQ3,35- 35 = 8 0 0 0 0 0 0 0 0 0 0 0 0 0=8,X2,35- 35 = 8 0 0 0 0 0 0 0 0 0 0 0 0 0=8
SAQ5,36- 39 = 1 2 2 2 0 0 0 0 0 0 0 0 0=7,X2,36- 39 = 1 2 2 2 0 0 0 0 0 0 0 0 0=7
SAQ7,36- 40 = 1 2 3 1 1 0 0 0 0 0 0 0 0=8,X2,36- 40 = 1 2 3 1 1 0 0 0 0 0 0 0 0=8
SAQ9,40- 44 = 1 1 2 2 2 0 0 0 0=8,X2,40- 44 = 1 1 2 2 2 0 0 0 0=8
SBL,28- 35 = 1 1 1 1 2 2 1 1 0 0 0 0 0 0 0=10,X1,28- 35 = 1 1 1 1 2 2 1 1 0 0 0 0 0 0 0=10
SE,SE,CK,SE
SEF,39- 44 = 1 1 2 1 1 2 0 0 0=8,M1,39- 44 = 1 1 2 1 1 2 0 0 0=8
SEM,SEM,CK,SEM
SEN,SEN,FT,SEN
SEN1,26- 35 = 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0=10,X1,26- 35 = 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0=10
SEN3,28- 36 = 1 1 1 2 1 1 1 1 1 0 0 0 0 0 0 0=10,X1,28- 36 = 1 1 1 2 1 1 1 1 1 0 0 0 0 0 0 0=10
SENA,SENA,BB,SENA
SENB,SENB,BB,SENB
SENC,SENC,BB,SENC
SEND,SEND,BB,SEND
SENE,AKSU YENI,BB,AKSU YENI
SER,AKKANAT,GR,AKKANAT
SHES,SHES,M1,SHES
SHOE,SHOE,ERS,SHOE
SHOF,MAS1,ERS,MAS1
SHOG,SHOG,ERS,SHOG
SLF3,SLF3,GR,SLF3
SNAZ,SNAZ,GR,SNAZ
SPOR,SPOR,M1,SPOR
ŞAFA,AFAK KUNDURA,M1,AFAK KUNDURA
TAUR,TAURICA 18LI,M1,TAURICA 18LI
terk,terk,Z1,terk
tes,37- 40 = 3 2 2 1 0 0=8,GR,37- 40 = 3 2 2 1 0 0=8
TNAE,TUNADED,BB,TUNADED
TNAG,22- 25 = 1 1 3 3 0 0=8,BB,22- 25 = 1 1 3 3 0 0=8
TNAI,22- 25 = 2 2 2 2 0 0=8,BB,22- 25 = 2 2 2 2 0 0=8
TNAK,23- 26 = 2 2 2 2 0=8,BB,23- 26 = 2 2 2 2 0=8
TNAM,21- 24 = 2 2 2 2 0 0 0=8,BB,21- 24 = 2 2 2 2 0 0 0=8
TNAO,22- 24 = 3 3 2 0 0 0=8,BB,22- 24 = 3 3 2 0 0 0=8
TNAQ,21- 25 = 1 2 2 2 1 0 0=8,BB,21- 25 = 1 2 2 2 1 0 0=8
TNAS,21- 24 = 2 2 2 1 0 0 0=7,BB,21- 24 = 2 2 2 1 0 0 0=7
TNAU,22- 25 = 1 3 3 3 0 0=10,BB,22- 25 = 1 3 3 3 0 0=10
TNAW,22- 25 = 2 3 2 1 0 0=8,BB,22- 25 = 2 3 2 1 0 0=8
TNAY,22- 25 = 3 3 1 1 0 0=8,BB,22- 25 = 3 3 1 1 0 0=8
TNB0,22- 24 = 2 2 2 0 0 0=6,BB,22- 24 = 2 2 2 0 0 0=6
TNB2,20- 27 = 1 1 1 1 1 1 1 1=8,BB,20- 27 = 1 1 1 1 1 1 1 1=8
TNB4,22- 25 = 1 1 1 1 0 0=4,BB,22- 25 = 1 1 1 1 0 0=4
TNB6,19- 21 = 2 2 2 0 0 0 0 0 0=6,BB,19- 21 = 2 2 2 0 0 0 0 0 0=6
TNB8,22- 25 = 1 2 2 1 0 0=6,BB,22- 25 = 1 2 2 1 0 0=6
TNC0,19- 25 = 1 1 1 2 1 1 1 0 0=8,BB,19- 25 = 1 1 1 2 1 1 1 0 0=8
TNC2,19- 23 = 2 2 2 1 1 0 0 0 0=8,BB,19- 23 = 2 2 2 1 1 0 0 0 0=8
TNC4,22- 25 = 1 2 3 2 0 0=8,BB,22- 25 = 1 2 3 2 0 0=8
TNC6,22- 25 = 3 2 2 1 0 0=8,BB,22- 25 = 3 2 2 1 0 0=8
TOM,26- 30 = 2 2 1 1 2 0 0 0 0 0 0=8,FLT,26- 30 = 2 2 1 1 2 0 0 0 0 0 0=8
TOM1,31- 35 = 3 2 1 1 1 0=8,FLT,31- 35 = 3 2 1 1 1 0=8
TOM3,31- 35 = 2 2 1 1 2 0=8,FLT,31- 35 = 2 2 1 1 2 0=8
TOM5,32- 35 = 2 2 2 2 0=8,FLT,32- 35 = 2 2 2 2 0=8
TOM7,26- 35 = 1 1 1 1 1 1 1 1 1 1 0=10,FLT,26- 35 = 1 1 1 1 1 1 1 1 1 1 0=10
TOPT,TOPT,CK,TOPT
trlk,trlk,Z1,trlk
tttn,tttn,Z1,tttn
TUAN,TUAN,Z1,TUAN
TUN,TUNA WİCKERS,FT,TUNA WİCKERS
TUN0,TUN0,FT,TUN0
TUNA,TUNA,GR,TUNA
TUNB,TUNB,GR,TUNB
TUNC,TUNC,GR,TUNC
TUND,TUND,GR,TUND
TUNE,TUNE,GR,TUNE
TUNF,TUNF,GR,TUNF
TUNG,TUNG,GR,TUNG
TUNH,TUNH,GR,TUNH
TUNI,TUNI,GR,TUNI
TUNK,37- 40 = 2 3 2 1 0 0=8,GR,37- 40 = 2 3 2 1 0 0=8
TURK,45- 49 = 2 2 2 1 1 0=8,M2,45- 49 = 2 2 2 1 1 0=8
UCA1,UCA1,Z1,UCA1
UGGF,UGGF,FT,UGGF
UGRU,UGRU,FT,UGRU
UGUR,UGUR WINC,FT,UGUR WINC
UĞRB,UĞRB,M2,UĞRB
UĞRC,UĞRC,M2,UĞRC
vesa,vesa,FT,vesa
vesb,vesb,FT,vesb
vesc,vesc,FT,vesc
vesd,vesd,FT,vesd
vesf,30- 35 = 1 1 2 2 1 1 0 0=8,FT,30- 35 = 1 1 2 2 1 1 0 0=8
vesh,31- 36 = 1 2 2 1 1 1 0=8,FT,31- 36 = 1 2 2 1 1 1 0=8
vesj,30- 35 = 1 2 2 1 1 1 0 0=8,FT,30- 35 = 1 2 2 1 1 1 0 0=8
vesl,30- 35 = 1 1 1 2 2 1 0 0=8,FT,30- 35 = 1 1 1 2 2 1 0 0=8
vesn,28- 35 = 1 1 1 2 2 1 1 1 0 0=10,FT,28- 35 = 1 1 1 2 2 1 1 1 0 0=10
vesp,31- 36 = 2 2 1 1 1 1 0=8,FT,31- 36 = 2 2 1 1 1 1 0=8
vesr,31- 35 = 2 2 2 1 1 0 0=8,FT,31- 35 = 2 2 2 1 1 0 0=8
vest,31- 35 = 2 3 2 2 1 0 0=10,FT,31- 35 = 2 3 2 2 1 0 0=10
vesv,31- 36 = 1 1 1 2 2 1 0=8,FT,31- 36 = 1 1 1 2 2 1 0=8
vesx,26- 30 = 1 2 2 2 1 0 0 0 0 0 0 0=8,FT,26- 30 = 1 2 2 2 1 0 0 0 0 0 0 0=8
vesz,26- 36 = 1 2 2 2 1 2 2 2 2 1 1 0=18,FT,26- 36 = 1 2 2 2 1 2 2 2 2 1 1 0=18
vet1,26- 36 = 1 2 2 2 1 1 1 2 2 1 1 0=16,FT,26- 36 = 1 2 2 2 1 1 1 2 2 1 1 0=16
vet3,26- 30 = 1 1 2 2 2 0 0 0 0 0 0 0=8,FT,26- 30 = 1 1 2 2 2 0 0 0 0 0 0 0=8
vet5,26- 30 = 2 2 2 2 2 0 0 0 0 0 0 0=10,FT,26- 30 = 2 2 2 2 2 0 0 0 0 0 0 0=10
WIN,WINTER,PT,WINTER
WIN1,26- 29 = 2 2 2 2 0 0=8,PT,26- 29 = 2 2 2 2 0 0=8
WIN3,27- 30 = 2 2 2 2 0=8,PT,27- 30 = 2 2 2 2 0=8
WIN5,28- 30 = 2 2 2 0=6,PT,28- 30 = 2 2 2 0=6
WIN7,26- 30 = 2 2 2 1 1 0=8,PT,26- 30 = 2 2 2 1 1 0=8
WIN9,27- 30 = 2 2 3 3 0=10,PT,27- 30 = 2 2 3 3 0=10
WKR,36- 39 = 1 3 2 2 0 0 0 0=8,Z1,36- 39 = 1 3 2 2 0 0 0 0=8
XXXX,XXXX,Z1,XXXX
YAG1,YAGMUR BATTAL,M2,YAGMUR BATTAL
YAGM,YAGM,M1,YAGM
YBK,YENİ KARADENİZ BATTAL,M2,YENİ KARADENİZ BATTAL
YBK1,45- 48 = 3 3 1 1 0 0=8,M2,45- 48 = 3 3 1 1 0 0=8
YBK3,45- 48 = 4 2 1 1 0 0=8,M2,45- 48 = 4 2 1 1 0 0=8
YBK5,46- 49 = 2 2 2 2 0=8,M2,46- 49 = 2 2 2 2 0=8
YBK7,45- 48 = 2 2 2 2 0 0=8,M2,45- 48 = 2 2 2 2 0 0=8
YBK9,45- 47 = 2 3 3 0 0 0=8,M2,45- 47 = 2 3 3 0 0 0=8
YBL1,46- 49 = 3 3 2 2 0=10,M2,46- 49 = 3 3 2 2 0=10
YBL3,46- 49 = 3 2 2 1 0=8,M2,46- 49 = 3 2 2 1 0=8
YBL5,45- 49 = 1 2 2 2 1 0=8,M2,45- 49 = 1 2 2 2 1 0=8
YBL7,46- 48 = 2 3 3 0 0=8,M2,46- 48 = 2 3 3 0 0=8
YBL9,46- 48 = 1 2 2 0 0=5,M2,46- 48 = 1 2 2 0 0=5
YBM1,45- 48 = 1 2 2 2 0 0=7,M2,45- 48 = 1 2 2 2 0 0=7
YBM3,46- 50 = 2 2 2 1 1=8,M2,46- 50 = 2 2 2 1 1=8
YBM5,45- 46 = 1 1 0 0 0 0=2,M2,45- 46 = 1 1 0 0 0 0=2
YBM7,46- 46 = 5 0 0 0 0=5,M2,46- 46 = 5 0 0 0 0=5
YBM9,47- 47 = 5 0 0 0=5,M2,47- 47 = 5 0 0 0=5
YBN1,48- 48 = 5 0 0=5,M2,48- 48 = 5 0 0=5
YBN3,47- 48 = 1 1 0 0=2,M2,47- 48 = 1 1 0 0=2
YBN5,47- 48 = 5 5 0 0=10,M2,47- 48 = 5 5 0 0=10
YBN7,46- 49 = 2 2 3 1 0=8,M2,46- 49 = 2 2 3 1 0=8
YG11,38- 45 = 1 1 1 2 2 2 1 1 0 0=11,M1,38- 45 = 1 1 1 2 2 2 1 1 0 0=11
YM01,YENİMERDANE01,ERS,YENİMERDANE01
YM02,YM02,ERS,YM02
YM03,YM03,ERS,YM03
YM04,YM04,ERS,YM04
YM06,40- 44 = 1 2 2 2 1 0 0 0 0 0 0=8,ERS,40- 44 = 1 2 2 2 1 0 0 0 0 0 0=8
YM08,39- 46 = 1 1 1 1 1 1 1 1 0 0 0 0=8,ERS,39- 46 = 1 1 1 1 1 1 1 1 0 0 0 0=8
YM10,40- 44 = 2 2 2 1 1 0 0 0 0 0 0=8,ERS,40- 44 = 2 2 2 1 1 0 0 0 0 0 0=8
Z000,Z000,Z1,Z000
Z040,Z040,Z1,Z040
Z058,TUNA GARSON,Z1,TUNA GARSON
Z-09,ATAK1,Z1,ATAK1
Z-1,NORMAL,Z1,
Z100,MARİANİ,Z1,MARİANİ
Z-19,FABİANNİ BOT,Z1,FABİANNİ BOT
Z-2,KING PAOLO,Z1,
Z-26,POLARİS,Z1,POLARİS
Z-28,KING PAOLO,Z1,KING PAOLO
Z-3,LESCON,Z1,LESCON
Z-35,SHALIN,Z1,SHALIN
Z-37,NANECİLER,Z1,NANECİLER
Z-48,NANECİLER YENİ,Z1,NANECİLER YENİ
Z-5,ERAY,Z1,ERAY
Z-51,POLARIS,Z1,POLARIS
Z-53,REAL BELLA,Z1,REAL BELLA
Z-54,UCAR 8,Z1,UCAR 8
Z-55,DSFGSGSDFG,Z1,DSFGSGSDFG
Z-56,FARUK YENİ,Z1,FARUK YENİ
Z-66,ALPINO,Z1,ALPINO
Z666,PUNTO YENİ,Z1,PUNTO YENİ
Z-74,LEVENT ÇİÇEK,Z3,LEVENT ÇİÇEK
Z-76,36- 39 = 2 2 2 2 0 0 0=8,Z3,36- 39 = 2 2 2 2 0 0 0=8
Z-78,35- 39 = 2 2 2 2 2 0 0 0 0=10,Z3,35- 39 = 2 2 2 2 2 0 0 0 0=10
Z-80,35- 40 = 1 2 2 2 2 1 0 0 0=10,Z3,35- 40 = 1 2 2 2 2 1 0 0 0=10
Z-82,36- 39 = 1 3 3 1 0 0 0 0=8,Z3,36- 39 = 1 3 3 1 0 0 0 0=8
Z-9,35-41,Z1,
Z-95,İADE,Z1,İADE
Z-99,UCAR,Z1,
Z999,37- 40 = 1 2 3 2 0 0 0=8,Z3,37- 40 = 1 2 3 2 0 0 0=8
ZB-1,RETTO,Z2,RETTO
ZB-3,JESTELLA,Z2,JESTELLA
ZB-4,ZB-4,Z2,ZB-4
ZB-5,ALPINO,Z2,ALPINO
ZB-7,ZB-7,Z2,ZB-7
ZB-9,ANELLİ,Z2,ANELLİ
zekı,zekı,M1,zekı
ZZZ9,ALPINO,Z1,ALPINO
ZZZa,ZZZa,M1,ZZZa
ZZZX,ZZZX,Z1,ZZZX
ZZZY,ZZZY,Z1,ZZZY
ZZZZ,ZZZZZ,M1,ZZZZZ
